Energy (MeV),Co60 Counts,Co60 Normalized,Cs137 Counts,Cs137 Normalized,Na22 Counts,Na22 Normalized
0.72596,0.000132682,0.0012890257645824428,1e-08,1.2517399184866965e-07,4.60316e-05,0.0005265743201272977
0.72791,0.000133917,0.0013010239769945208,1e-08,1.2517399184866965e-07,4.54663e-05,0.0005201076219641238
0.72986,0.000133145,0.0012935238798430031,2e-08,2.503479836973393e-07,4.55999e-05,0.0005216359270669011
0.73182,0.000134143,0.0013032196012901724,0.0,0.0,4.51065e-05,0.0005159917224433206
0.73377,0.000133793,0.0012998192981774376,0.0,0.0,4.73063e-05,0.0005411561353556684
0.73573,0.000135912,0.001320405704737108,0.0,0.0,4.61242e-05,0.0005276336094425461
0.73768,0.000134719,0.0013088155286985583,0.0,0.0,4.69157e-05,0.000536687902023746
0.73963,0.000136364,0.001324796953328411,0.0,0.0,4.62989e-05,0.0005296320742737977
0.74159,0.000136282,0.001324000310884856,0.0,0.0,4.72343e-05,0.0005403324978751297
0.74354,0.000135274,0.0013142074379201803,0.0,0.0,4.64223e-05,0.0005310436974001654
0.7455,0.000136724,0.0013282944079586521,0.0,0.0,4.83856e-05,0.0005535026899771326
0.74745,0.0001362,0.0013232036684413012,0.0,0.0,4.73474e-05,0.0005416262950841426
0.7494,0.000138133,0.001341983056775347,0.0,0.0,4.86221e-05,0.0005562081103125132
0.75136,0.000136169,0.0013229024987370303,0.0,0.0,4.92183e-05,0.0005630282862277518
0.75331,0.000136879,0.0013298002564800062,0.0,0.0,4.94342e-05,0.0005654980547284227
0.75527,0.000137825,0.0013389907900361404,0.0,0.0,5.07499e-05,0.0005805488857443224
0.75722,0.000137928,0.0013399914506664595,0.0,0.0,4.95781e-05,0.0005671441857485549
0.75917,0.000137506,0.0013358916566276766,0.0,0.0,4.82212e-05,0.0005516220510632359
0.76113,0.000137856,0.0013392919597404113,0.0,0.0,4.97631e-05,0.0005692604764971613
0.76308,0.000138596,0.0013464811720359073,0.0,0.0,4.95781e-05,0.0005671441857485549
0.76504,0.000138051,0.001341186414331792,0.0,0.0,4.95883e-05,0.0005672608677249646
0.76699,0.000138802,0.0013484824932965453,0.0,0.0,5.05957e-05,0.0005787849288068353
0.76894,0.000138843,0.001348880814518323,0.0,0.0,4.8694e-05,0.0005570306038521067
0.7709,0.000138442,0.0013449850386663038,0.0,0.0,4.93108e-05,0.000564086431602055
0.77285,0.000140211,0.00136217114211324,0.0,0.0,4.91874e-05,0.0005626748084756873
0.77481,0.000139892,0.001359072008704776,0.0,0.0,5.02462e-05,0.000574786855203387
0.77676,0.000140365,0.001363667275482843,0.0,0.0,4.89716e-05,0.0005602061839159615
0.77871,0.000141517,0.0013748591302996153,0.0,0.0,4.85912e-05,0.0005558546325604487
0.78067,0.000139841,0.0013585765359654918,0.0,0.0,4.83342e-05,0.0005529147043313036
0.78262,0.000142494,0.0013843508335600204,0.0,0.0,4.80156e-05,0.0005492701084799198
0.78458,0.000141548,0.0013751603000038862,0.0,0.0,4.81081e-05,0.000550328253854223
0.78653,0.0001427,0.0013863521548206584,0.0,0.0,4.89819e-05,0.0005603240098333164
0.78848,0.000142936,0.0013886449306338166,0.0,0.0,4.90846e-05,0.0005614988371840293
0.79044,0.000143656,0.0013956398398942992,0.0,0.0,4.76969e-05,0.0005456243686875909
0.79239,0.000142,0.0013795515485951892,0.0,0.0,4.9393e-05,0.0005650267510590033
0.79435,0.000148202,0.0014398049197528466,0.0,0.0,4.81389e-05,0.0005506805876653424
0.7963,0.000145096,0.0014096296584152645,0.0,0.0,4.83137e-05,0.0005526801964375391
0.79826,0.000145219,0.001410824622080597,0.0,0.0,4.93622e-05,0.000564674417247884
0.80021,0.000147585,0.0014338106711226828,0.0,0.0,4.93416e-05,0.0005644387654131744
0.80216,0.00014706,0.0014287102164535809,0.0,0.0,4.84268e-05,0.000553973993646552
0.80412,0.0001485,0.0014427000349745464,0.0,0.0,4.90949e-05,0.0005616166631013842
0.80607,0.000149158,0.0014490926048264876,0.0,0.0,4.90333e-05,0.0005609119954791454
0.80803,0.000149817,0.0014554948898301793,0.0,0.0,4.80156e-05,0.0005492701084799198
0.80998,0.000148305,0.0014408055803831657,0.0,0.0,4.86426e-05,0.0005564426182062777
0.81193,0.000151781,0.0014745754478684959,0.0,0.0,4.93622e-05,0.000564674417247884
0.81389,0.000152799,0.0014844654723506782,0.0,0.0,4.85707e-05,0.0005556201246666843
0.81584,0.000153169,0.0014880600784984263,0.0,0.0,4.94033e-05,0.0005651445769763582
0.8178,0.000152501,0.0014815703571289785,0.0,0.0,4.91772e-05,0.0005625581264992776
0.81975,0.000152244,0.0014790735631290562,0.0,0.0,4.98042e-05,0.0005697306362256355
0.8217,0.000153416,0.0014904597209808418,0.0,0.0,5.0421e-05,0.0005767864639755837
0.82366,0.000155381,0.001509549994170909,0.0,0.0,5.10275e-05,0.0005837244658081772
0.82561,0.000153632,0.0014925581937589867,0.0,0.0,4.89921e-05,0.0005604406918097261
0.82757,0.000153591,0.001492159872537209,0.0,0.0,5.05752e-05,0.0005785504209130708
0.82952,0.000156995,0.0015252302490964909,0.0,0.0,5.03387e-05,0.0005758450005776902
0.83147,0.000153262,0.0014889635876112386,0.0,0.0,4.96397e-05,0.0005678488533707935
0.83343,0.000154805,0.0015039540667625229,0.0,0.0,5.06985e-05,0.0005799609000984934
0.83538,0.000154733,0.0015032545758364745,0.0,0.0,5.13564e-05,0.0005874868875769157
0.83734,0.000155926,0.0015148447518750243,0.0,0.0,5.07088e-05,0.0005800787260158482
0.83929,0.000157088,0.0015261337582093033,0.0,0.0,5.07191e-05,0.000580196551933203
0.84124,0.000155206,0.0015078498426145416,0.0,0.0,5.12125e-05,0.0005858407565567835
0.8432,0.000155926,0.0015148447518750243,0.0,0.0,4.95061e-05,0.0005663205482680162
